"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2026","4,491.01","4,357.09","4,517.09","4,350.42","","3.71%"
"12/28/2025","4,330.50","4,540.70","4,550.10","4,274.51","","-4.46%"
"12/21/2025","4,532.63","4,338.98","4,550.11","4,337.90","","4.47%"
"12/14/2025","4,338.55","4,299.00","4,374.69","4,271.34","","0.84%"
"12/07/2025","4,302.43","4,197.19","4,353.72","4,170.00","","2.51%"
"11/30/2025","4,197.13","4,223.93","4,264.74","4,163.01","","-0.79%"
"11/23/2025","4,230.63","4,066.47","4,231.51","4,040.03","","4.05%"
"11/16/2025","4,065.90","4,082.02","4,133.04","3,997.99","","-0.34%"
"11/09/2025","4,079.58","3,999.94","4,245.20","3,997.87","","2.00%"
"11/02/2025","3,999.72","4,002.28","4,030.70","3,928.66","","-0.06%"
"10/26/2025","4,002.28","4,065.35","4,109.33","3,886.49","","-2.67%"
"10/19/2025","4,112.10","4,251.82","4,381.60","4,004.69","","-3.24%"
"10/12/2025","4,249.98","4,018.79","4,379.44","4,008.80","","5.77%"
"10/05/2025","4,018.30","3,888.45","4,059.34","3,883.93","","3.38%"
"09/28/2025","3,886.83","3,758.59","3,897.20","3,757.62","","3.37%"
"09/21/2025","3,760.24","3,686.80","3,791.11","3,683.62","","2.04%"
"09/14/2025","3,684.98","3,644.40","3,707.70","3,626.60","","1.15%"
"09/07/2025","3,643.13","3,586.82","3,674.75","3,579.67","","1.57%"
"08/31/2025","3,586.81","3,448.00","3,600.33","3,436.80","","4.03%"
"08/24/2025","3,448.00","3,371.23","3,454.08","3,351.26","","2.25%"
"08/17/2025","3,372.11","3,338.00","3,379.01","3,311.46","","1.10%"
"08/10/2025","3,335.39","3,398.50","3,405.10","3,329.85","","-1.87%"
"08/03/2025","3,398.78","3,365.10","3,408.83","3,345.00","","1.07%"
"07/27/2025","3,362.88","3,335.00","3,363.55","3,268.15","","0.77%"
"07/20/2025","3,337.18","3,348.62","3,439.09","3,325.05","","-0.39%"
"07/13/2025","3,350.40","3,355.91","3,377.50","3,309.90","","-0.16%"
"07/06/2025","3,355.91","3,335.95","3,368.89","3,282.80","","0.58%"
"06/29/2025","3,336.64","3,272.65","3,365.81","3,247.86","","1.91%"
"06/22/2025","3,274.25","3,367.17","3,399.25","3,255.72","","-2.79%"
"06/15/2025","3,368.23","3,431.54","3,451.62","3,340.38","","-1.88%"
"06/08/2025","3,432.64","3,311.51","3,447.02","3,293.70","","3.70%"
"06/01/2025","3,310.17","3,289.80","3,403.55","3,289.41","","0.63%"
"05/25/2025","3,289.40","3,354.30","3,357.03","3,245.55","","-2.03%"
"05/18/2025","3,357.42","3,214.60","3,366.39","3,204.40","","4.83%"
"05/11/2025","3,202.77","3,324.98","3,325.42","3,120.52","","-3.67%"
"05/04/2025","3,324.63","3,240.00","3,438.59","3,237.81","","2.58%"
"04/27/2025","3,240.88","3,328.40","3,353.33","3,202.09","","-2.37%"
"04/20/2025","3,319.45","3,334.41","3,500.33","3,260.50","","-0.25%"
"04/13/2025","3,327.80","3,237.35","3,358.00","3,193.41","242.64K","2.79%"
"04/06/2025","3,237.35","3,038.02","3,245.69","2,956.60","","6.58%"
"03/30/2025","3,037.36","3,086.54","3,168.04","3,015.64","","-1.51%"
"03/23/2025","3,084.03","3,023.03","3,086.93","3,002.34","","2.00%"
"03/16/2025","3,023.63","2,985.80","3,057.51","2,982.13","","1.31%"
"03/09/2025","2,984.42","2,912.17","3,005.08","2,880.30","","2.53%"
"03/02/2025","2,910.79","2,856.71","2,930.56","2,855.63","","1.83%"
"02/23/2025","2,858.60","2,936.41","2,956.37","2,832.63","","-2.64%"
"02/16/2025","2,936.03","2,883.55","2,954.97","2,884.74","","1.83%"
"02/09/2025","2,883.18","2,864.08","2,943.25","2,854.69","","0.80%"
"02/02/2025","2,860.39","2,801.40","2,886.96","2,771.69","","2.12%"
"01/26/2025","2,801.00","2,770.70","2,817.57","2,729.80","","1.07%"
"01/19/2025","2,771.30","2,702.51","2,786.04","2,689.32","363.97K","2.58%"
"01/12/2025","2,701.55","2,689.35","2,724.86","2,656.73","606.61K","0.44%"
"01/05/2025","2,689.63","2,641.00","2,698.57","2,614.60","363.97K","1.91%"
"12/29/2024","2,639.12","2,620.30","2,665.47","2,595.90","","0.73%"
"12/22/2024","2,620.00","2,622.24","2,639.40","2,607.97","","-0.03%"
"12/15/2024","2,620.77","2,649.10","2,664.83","2,583.49","","-1.04%"
"12/08/2024","2,648.39","2,635.52","2,726.31","2,627.47","","0.59%"
"12/01/2024","2,632.91","2,653.82","2,657.36","2,613.57","121.32K","-0.78%"
"11/24/2024","2,653.55","2,715.10","2,721.43","2,605.29","","-2.18%"
"11/17/2024","2,712.55","2,561.59","2,712.91","2,561.59","","5.91%"
"11/10/2024","2,561.24","2,684.81","2,686.51","2,536.91","","-4.57%"
"11/03/2024","2,683.77","2,734.10","2,750.06","2,643.50","","-1.88%"
"10/27/2024","2,735.16","2,734.84","2,790.41","2,724.72","","-0.46%"
