date,today_state_of_the_economy,tomorrow_state_of_the_economy,next_week_state_of_the_economy,direction,magnitude
2014-01-01,0,13.33,-7.5,UP,0.00
2014-01-02,13.33,-40,-7.5,UP,0.75
2014-01-03,-40,80,-7.5,UP,0.20
2014-01-06,80,10,8.57,DOWN,0.17
2014-01-07,10,-40,8.57,UP,0.22
2014-01-08,-40,5,8.57,UP,0.24
2014-01-09,5,-90,8.57,DOWN,0.02
2014-01-10,-90,0,8.57,DOWN,0.42
2014-01-13,0,-10,-8,DOWN,0.19
2014-01-14,-10,23.33,-8,UP,0.19
2014-01-15,23.33,53.33,-8,UP,0.46
2014-01-16,53.33,-16,-8,DOWN,0.15
2014-01-17,-16,0,-8,UP,0.38
2014-01-20,0,0,-1.54,UP,0.00
2014-01-21,0,-30,-1.54,DOWN,0.15
2014-01-22,-30,-2.5,-1.54,UP,0.09
2014-01-23,-2.5,0,-1.54,DOWN,0.90
2014-01-24,0,50,-1.54,UP,0.02
2014-01-27,50,36.67,28,UP,0.07
2014-01-28,36.67,-40,28,UP,0.06
2014-01-29,-40,-16,28,DOWN,0.09
2014-01-30,-16,-20,28,UP,0.72
2014-01-31,-20,-70,28,UP,0.28
2014-02-03,-70,30,3.75,DOWN,0.37
2014-02-04,30,26.67,3.75,UP,0.14
2014-02-05,26.67,20,3.75,DOWN,0.10
2014-02-06,20,90,3.75,DOWN,0.16
2014-02-07,90,0,3.75,DOWN,0.27
2014-02-10,0,5,-18.33,DOWN,0.06
2014-02-11,5,-40,-18.33,UP,0.00
2014-02-12,-40,27.5,-18.33,UP,0.05
2014-02-13,27.5,-50,-18.33,DOWN,0.45
2014-02-14,-50,0,-18.33,DOWN,0.21
2014-02-17,0,-40,-9.09,DOWN,0.01
2014-02-18,-40,-37.5,-9.09,DOWN,0.16
2014-02-19,-37.5,1.67,-9.09,UP,0.16
2014-02-20,1.67,-40,-9.09,UP,0.19
2014-02-21,-40,0,-9.09,DOWN,0.06
2014-02-24,0,-3.33,12.22,DOWN,0.05
2014-02-25,-3.33,-45,12.22,DOWN,0.07
2014-02-26,-45,-55,12.22,UP,0.36
2014-02-27,-55,27.5,12.22,DOWN,0.19
2014-02-28,27.5,70,12.22,DOWN,0.73
2014-03-03,70,-30,14,UP,0.49
2014-03-04,-30,-26.67,14,UP,0.11
2014-03-05,-26.67,5,14,DOWN,0.07
2014-03-06,5,70,14,DOWN,0.56
2014-03-07,70,0,14,UP,0.08
2014-03-10,0,5,10,UP,0.06
2014-03-11,5,-40,10,DOWN,0.04
2014-03-12,-40,37.5,10,DOWN,0.16
2014-03-13,37.5,6.67,10,UP,0.01
2014-03-14,6.67,50,10,DOWN,0.21
2014-03-17,50,13.33,14.17,DOWN,0.08
2014-03-18,13.33,40,14.17,UP,0.03
2014-03-19,40,-27.5,14.17,UP,0.74
2014-03-20,-27.5,0,14.17,UP,0.24
2014-03-21,0,0,14.17,DOWN,0.10
2014-03-24,0,0,11.67,DOWN,0.22
2014-03-25,0,40,11.67,UP,0.01
2014-03-26,40,-7.5,11.67,UP,0.11
2014-03-27,-7.5,53.33,11.67,UP,0.10
2014-03-28,53.33,-40,11.67,UP,0.09
2014-03-31,-40,50,23.33,DOWN,0.10
2014-04-01,50,40,23.33,DOWN,0.01
2014-04-02,40,-20,23.33,UP,0.16
2014-04-03,-20,26.67,23.33,UP,0.31
