date,today_state_of_the_economy,tomorrow_state_of_the_economy,next_week_state_of_the_economy,direction,magnitude
2014-01-05,0,0,68.75,UP,0.85
2014-01-12,0,0,5.5,UP,0.54
2014-01-19,0,0,-65.5,UP,1.23
2014-01-26,0,0,23.38,DOWN,2.01
2014-02-02,0,0,65,UP,1.87
2014-02-09,0,0,-16.2,UP,4.09
2014-02-16,0,0,-65.5,UP,0.34
2014-02-23,0,0,29.75,UP,0.23
2014-03-02,0,0,1.25,UP,1.04
2014-03-09,0,0,-67,UP,3.13
2014-03-16,0,0,5.5,DOWN,3.45
2014-03-23,0,0,0.28,DOWN,3.04
2014-03-30,0,0,38.6,UP,0.67
2014-04-06,0,0,-20.33,UP,1.21
2014-04-13,0,0,-65.5,DOWN,1.87
2014-04-20,0,0,52.5,UP,0.75
2014-04-27,0,0,65,DOWN,0.24
2014-05-04,0,0,-16.2,DOWN,0.85
2014-05-11,0,0,5.5,UP,0.34
2014-05-18,0,0,-5.5,DOWN,0.05
2014-05-25,0,0,-43.95,DOWN,3.25
2014-06-01,0,0,-14.6,UP,0.13
2014-06-08,0,0,67,UP,1.94
2014-06-15,0,0,-5.5,UP,2.96
2014-06-22,0,0,-9.75,UP,0.04
2014-06-29,0,0,67.5,UP,0.4
2014-07-06,0,0,37.75,UP,1.33
2014-07-13,0,0,-65.5,DOWN,2.04
2014-07-20,0,0,-41.8,DOWN,0.22
2014-07-27,0,0,5.5,DOWN,1.07
2014-08-03,0,0,1.25,UP,1.2
2014-08-10,0,0,20.33,DOWN,0.38
2014-08-17,0,0,-65.5,DOWN,1.79
2014-08-24,0,0,49.92,UP,0.49
2014-08-31,0,0,17.67,DOWN,1.45
2014-09-07,0,0,-2.25,DOWN,3.17
2014-09-14,0,0,-65.5,DOWN,0.99
2014-09-21,0,0,12.62,UP,0.25
2014-09-28,0,0,-22.33,DOWN,2.32
2014-10-05,0,0,27,UP,2.71
2014-10-12,0,0,-19.67,UP,1.2
2014-10-19,0,0,65.5,DOWN,0.54
2014-10-26,0,0,15.78,DOWN,4.63
2014-11-02,0,0,-17.67,UP,0.19
2014-11-09,0,0,40.2,UP,0.99
2014-11-16,0,0,-5.5,UP,1.11
2014-11-23,0,0,15.78,DOWN,2.83
2014-11-30,0,0,-13,UP,2.12
2014-12-07,0,0,0.5,UP,2.56
2014-12-14,0,0,13.67,DOWN,2.18
2014-12-21,0,0,5.5,DOWN,0.05
2014-12-28,0,0,-12.08,DOWN,0.52
2015-01-04,0,0,20.83,UP,2.88
2015-01-11,0,0,65.5,UP,4.65
2015-01-18,0,0,65.5,UP,1.11
2015-01-25,0,0,-44.9,DOWN,0.85
2015-02-01,0,-86.3,25,DOWN,3.88
2015-02-08,0,0,-37.75,DOWN,0.33
2015-02-15,0,0,-19.67,DOWN,2.22
2015-02-22,0,0,13.91,UP,0.89
2015-03-01,0,-86.3,67,DOWN,3.79
2015-03-08,0,0,5.5,DOWN,0.66
2015-03-15,0,0,65.5,UP,2
2015-03-22,0,0,31.78,UP,1.41
2015-03-29,0,0,-22.33,UP,0.97
2015-04-05,0,0,39.8,DOWN,0.24
2015-04-12,0,0,-5.5,DOWN,0.28
2015-04-19,0,0,72.43,DOWN,2.1
2015-04-26,0,0,15.92,DOWN,0.07
2015-05-03,0,0,-66.25,UP,0.82
2015-05-10,0,0,-67,UP,3
2015-05-17,0,0,65.5,DOWN,1.43
2015-05-24,0,0,67.78,DOWN,1.32
2015-05-31,0,0,36.75,DOWN,1.55
2015-06-07,0,0,67,UP,0.75
2015-06-14,0,0,-25.1,UP,1.67
2015-06-21,0,0,32.32,DOWN,2.12
2015-06-28,0,0,65,DOWN,0.61
2015-07-05,0,0,40.2,DOWN,0.34
2015-07-12,0,0,-5.5,DOWN,2.57
2015-07-19,0,0,5.5,DOWN,3.09
2015-07-26,0,0,-21.23,DOWN,0.31
2015-08-02,0,-86.3,-38.6,DOWN,0.13
2015-08-09,0,0,67,UP,1.82
2015-08-16,0,0,65.5,UP,4.21
2015-08-23,0,0,8.32,DOWN,2.33
2015-08-30,0,0,-14.6,DOWN,0.97
2015-09-06,0,0,70.5,DOWN,1.34
2015-09-13,0,0,5.5,UP,2.84
