iteration,timestamp,accuracy,samples,w_VPRWG,w_ZBEYU,w_GKORG,w_JCDYM,w_LUXEM,w_EEWPQ,w_PIIRP,w_YHIYY,w_MXSBY,w_ASXLP,w_YFVMV,w_FCHGZ,w_RQUMP,w_ISFDE,w_YPAXY,w_LUNIH,w_LIFLX,w_HKJPS,w_WDLPA,w_ZORRY,w_HMUGW,w_ZVAPL,w_ALMVK,w_BRHWF,w_BZLYI,w_IEDWO,w_XWBVZ,w_ZJOIV,w_FLPVV
1,2026-01-09T21:01:42.935092,0.4434782608695652,574,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2,2026-01-09T21:01:49.157427,0.46956521739130436,574,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
3,2026-01-09T21:01:55.644443,0.5478260869565217,574,5.0,5.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,6.0
4,2026-01-09T21:02:01.744244,0.5391304347826087,574,5.0,5.0,5.0,6.0,5.0,5.0,7.0,5.0,6.0,5.0,6.0,6.0,3.0,6.0,5.0,4.0,6.0,7.0,6.0,7.0,4.0,6.0,6.0,5.0,5.0,6.0,4.0,4.0,6.0
5,2026-01-09T21:02:07.976798,0.4956521739130435,574,5.0,4.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,7.0,4.0,6.0,5.0,4.0,5.0,6.0,5.0,3.0,6.0
6,2026-01-09T21:02:14.190653,0.5217391304347826,574,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,4.0,5.0,7.0,6.0,7.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,4.0,5.0
7,2026-01-09T21:02:20.480691,0.5565217391304348,574,4.0,4.0,5.0,6.0,4.0,5.0,6.0,6.0,4.0,4.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,7.0,6.0,7.0,4.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,6.0
8,2026-01-09T21:02:26.469672,0.5565217391304348,574,4.0,4.0,5.0,7.0,4.0,5.0,5.0,6.0,4.0,3.0,6.0,6.0,4.0,6.0,6.0,5.0,5.0,7.0,6.0,7.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,6.0
9,2026-01-09T21:02:32.799947,0.5391304347826087,574,4.0,4.0,5.0,5.0,4.0,5.0,6.0,6.0,4.0,4.0,5.0,6.0,5.0,6.0,6.0,4.0,5.0,7.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0
10,2026-01-09T21:02:38.801908,0.5478260869565217,574,3.0,4.0,6.0,7.0,4.0,5.0,6.0,5.0,4.0,3.0,6.0,7.0,5.0,6.0,5.0,5.0,5.0,8.0,6.0,7.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0
